KomNr_ny,KommuneNavn_ny,brukerbetaling_diff,brukerbetaling_diff_grupper,brukerbetaling_diff_pst
3022,Frogn,-0.015133303,-50-,-26.297319
3801,Horten,-0.014298037,-50-,-26.404716
1813,Brønnøy,-0.011957072,-50-,-26.439465
1870,Sortland,-0.010051508,-50-,-26.473509
1841,Fauske,-0.011867598,-50-,-26.49884
3014,Indre Østfold,-0.013036985,-50-,-26.540596
3015,Skiptvet,-0.013668451,-50-,-26.570196
3411,Ringsaker,-0.012560129,-50-,-26.583519
5049,Flatanger,-0.013413426,-50-,-26.730669
1112,Lund,-0.0097961165,-50-,-26.875486
3029,Lørenskog,-0.014351901,-50-,-26.933081
1839,Beiarn,-0.014810126,-50-,-27.057762
3428,Alvdal,-0.014951803,-50-,-27.1096
3401,Kongsvinger,-0.012381166,-50-,-27.218092
4630,Osterøy,-0.013067342,-50-,-27.241737
4628,Vaksdal,-0.015960138,-50-,-27.454952
4634,Masfjorden,-0.018742945,-50-,-27.471802
3819,Hjartdal,-0.012976762,-50-,-27.591635
3036,Nannestad,-0.012878053,-50-,-27.603001
5032,Selbu,-0.012498431,-50-,-27.679703
4646,Fjaler,-0.012939945,-50-,-27.732492
1811,Bindal,-0.010413287,-50-,-27.779634
3433,Skjåk,-0.01375952,-50-,-27.921824
3004,Fredrikstad,-0.011366893,-50-,-28.14604
3039,Flå,-0.012569945,-50-,-28.21188
3413,Stange,-0.011391411,-50-,-28.262007
5413,Ibestad,-0.015358575,-50-,-28.315765
3027,Rælingen,-0.017580085,-50-,-28.395243
3032,Gjerdrum,-0.012126634,-50-,-28.45067
1134,Suldal,-0.011372983,-50-,-28.599581
5006,Steinkjer,-0.010957254,-50-,-28.623377
1532,Giske,-0.012143586,-50-,-28.729834
3002,Moss,-0.011809122,-50-,-28.793081
4637,Hyllestad,-0.017400037,-50-,-28.895447
1145,Bokn,-0.011939157,-50-,-28.932747
1103,Stavanger,-0.015702717,-50-,-28.98888
5429,Kvænangen,-0.012532972,-50-,-29.307518
5411,Kvæfjord,-0.010941368,-50-,-29.498247
1515,Herøy,-0.017222475,-50-,-29.791719
5440,Berlevåg,-0.014478479,-50-,-29.908123
4617,Kvinnherad,-0.013898246,-50-,-30.008255
3813,Bamble,-0.010521915,-50-,-30.182438
3430,Os (Innlandet),-0.014241684,-50-,-30.263931
4224,Åseral,-0.0074524023,-50-,-30.340599
3041,Gol,-0.015048299,-50-,-30.636919
1539,Rauma,-0.016025107,-50-,-30.695688
1806,Narvik,-0.013834432,-50-,-30.812925
3054,Lunner,-0.015756868,-50-,-30.971006
5052,Leka,-0.01315799,-50-,-30.973269
3446,Gran,-0.015986696,-50-,-31.139399
3454,Vang,-0.013030548,-50-,-31.178417
3431,Dovre,-0.018199902,-50-,-31.438974
5444,Sør-Varanger,-0.016695853,-50-,-31.444551
5020,Osen,-0.014927279,-50-,-31.531063
4631,Alver,-0.01407747,-50-,-31.567518
5061,Rindal,-0.019602709,-50-,-31.615068
5045,Grong,-0.018304043,-50-,-31.759651
4618,Ullensvang,-0.01502626,-50-,-31.971006
3436,Nord-Fron,-0.014937337,-50-,-32.009266
1101,Eigersund,-0.010945747,-50-,-32.030373
3449,Sør-Aurdal,-0.01443979,-50-,-32.042622
3817,Midt-Telemark,-0.013445629,-50-,-32.089535
5041,Snåsa,-0.01482847,-50-,-32.209503
3024,Bærum,-0.020792272,-50-,-32.278065
3006,Kongsberg,-0.015254613,-50-,-32.767933
3017,Råde,-0.015822873,-50-,-32.991631
4636,Solund,-0.015657805,-50-,-33.058208
3419,Våler (Innlandet),-0.016219303,-50-,-33.097355
3802,Holmestrand,-0.016241122,-50-,-33.183613
